uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
11361fdb-d139-4554-bc91-6478627ba0ae,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2017-04-19T21:32Z,LENO.2017.17,LENO_003.20170419,,flag,165,Y,1,0,0,No known compromise,NEON.DOC.014045vG,jgalloway@neoninc.org,
63811800-23ac-4597-9025-5d76655665b1,LENO_023.tickPlot.tck,D08,LENO,LENO 023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2018-05-09T13:55Z,LENO.2018.19,,,drag and flag,106,No,0,0,0,,NEON.DOC.014045vJ,kjones01@battelleecology.org,
65c76233-bdb9-401b-88e7-43fbacd20669,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2018-04-05T17:33Z,LENO.2018.14,,,drag and flag,145,No,0,0,0,,NEON.DOC.014045vJ,charrell@battelleecology.org,
bd2245bc-7fad-4506-979a-84d47548cb0c,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2017-06-19T18:54Z,LENO.2017.26,,,drag,85,N,0,0,0,,NEON.DOC.014045vH,csantiago@battelleecology.org,
6623d2a2-3e66-43da-9334-d2de78b27946,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2016-08-09T18:52Z,LENO.2016.32,LENO_003.20160809,,drag,160,Y,0,2,586,No known compromise,NEON.DOC.014045vG,GPierce@field-ops.org,Larval ticks in separate larger vial
0a177773-2631-4689-b878-fb5cb1d9db4f,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2018-08-06T15:47Z,LENO.2018.32,,,drag,154,N,0,0,0,,NEON.DOC.014045vJ,rvalentine@battelleecology.org,
0a6b23bd-c532-49f9-80cd-bb82f7063c1b,LENO_023.tickPlot.tck,D08,LENO,LENO_023,distributed,Deciduous Forest,31.80946,-88.181413,WGS84,20.1,11.3,0.2,,,2016-05-31T18:49Z,LENO.2016.22,,,drag,155,N,0,0,0,No known compromise,NEON.DOC.014045vG,BGibson@field-ops.org,
2ae2cd4d-e125-4a53-9eba-757402798d88,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2019-06-27T15:26Z,LENO.2019.26,,,drag,155,n,,,,,NEON.DOC.014045vK,0000-0002-6443-1841,
3949e71e-2bb3-493e-a26a-1bcac016596c,LENO_003.tickPlot.tck,D08,LENO,LENO_003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2018-06-21T14:16Z,LENO.2018.25,,,drag,135,n,0,0,0,,NEON.DOC.014045vJ,charrell@battelleecology.org,Parts of plot slightly mucky. Skipped to keep cloth dry.
44d75fde-51f5-4559-a3b9-69cc440ecba0,LENO_003.tickPlot.tck,D08,LENO,LENO 003,distributed,Deciduous Forest,31.809574,-88.18756,WGS84,20.2,13.2,0.3,,,2016-11-01T16:30Z,LENO.2016.44,,,drag,160,n,0,0,0,No known compromise,NEON.DOC.014045vG,pkulakowski@field-ops.org,
